time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-26T18:54:53.855Z,6.8012,-73.1109,158.806,4.3,mb,42,55,0.903,0.6,us,us6000ng7y,2024-07-26T19:41:52.114Z,"7 km NNW of Jordán, Colombia",earthquake,8.49,5.946,0.093,35,reviewed,us,us
2024-07-26T18:50:01.341Z,36.3864,71.0366,119.802,4.1,mb,27,84,2.783,0.79,us,us6000ng7w,2024-07-27T00:00:33.040Z,"55 km SW of Ashkāsham, Afghanistan",earthquake,6.22,10.468,0.166,10,reviewed,us,us
2024-07-26T18:06:35.792Z,19.0125,-69.6348,86.394,4.2,ml,21,126,0.608,0.97,us,us6000ng7k,2024-07-26T23:16:56.040Z,"13 km ENE of Gonzalo, Dominican Republic",earthquake,9.89,16.289,0.057,40,reviewed,us,us
2024-07-26T18:02:38.380Z,19.3853333333333,-155.242,1.78,2.92,ml,28,69,0.00879,0.08,hv,hv74367356,2024-07-26T18:22:38.000Z,"6 km S of Volcano, Hawaii",earthquake,0.18,0.18,0.196918119474825,18,reviewed,hv,hv
2024-07-26T17:06:12.150Z,19.3853333333333,-155.244333333333,1.83,2.59,ml,29,65,0.01222,0.1,hv,hv74367231,2024-07-26T17:49:10.520Z,"6 km S of Volcano, Hawaii",earthquake,0.18,0.21,0.236497463514071,16,reviewed,hv,hv
2024-07-26T17:04:04.920Z,19.3935,-155.249166666667,1.64,3.19,ml,28,53,0.008202,0.09,hv,hv74367226,2024-07-26T22:35:58.040Z,"5 km SSW of Volcano, Hawaii",earthquake,0.18,0.17,0.154855010478686,9,reviewed,hv,hv
2024-07-26T17:03:41.400Z,19.391,-155.248333333333,1.58,2.91,ml,35,55,0.006142,0.09,hv,hv74367221,2024-07-26T22:30:51.040Z,"5 km SSW of Volcano, Hawaii",earthquake,0.15,0.16,0.169150129020379,16,reviewed,hv,hv
2024-07-26T17:00:10.610Z,19.385,-155.247,1.93,2.89,ml,22,79,0.0041,0.09,hv,hv74367211,2024-07-26T22:25:00.040Z,"6 km SSW of Volcano, Hawaii",earthquake,0.17,0.18,0.252351382856553,15,reviewed,hv,hv
2024-07-26T16:59:20.940Z,51.1237,179.2984,23.7,2.8,ml,,,,0.37,ak,ak0249k9ns4e,2024-07-27T06:39:54.517Z,"294 km WSW of Adak, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2024-07-26T16:11:57.560Z,32.755,-100.666,6.8115,2.5,ml,17,88,0.1,0.1,tx,tx2024oplm,2024-07-28T15:18:07.585Z,"15 km NNE of Hermleigh, Texas",earthquake,0.7536582245654271,1.096780647583333,0.1,27,reviewed,tx,tx
2024-07-26T16:02:27.529Z,35.6464,25.6524,10,4.6,mb,54,55,0.718,0.77,us,us6000ng6h,2024-07-26T21:12:03.215Z,"39 km NNE of Sísion, Greece",earthquake,5.19,1.888,0.066,68,reviewed,us,us
2024-07-26T15:44:58.694Z,32.762,-100.662,3.2959,2.7,ml,21,52,0.3,0.3,tx,tx2024opla,2024-07-28T15:08:54.655Z,"16 km NNE of Hermleigh, Texas",earthquake,1.380254155485149,2.295443365587778,0.1,19,reviewed,tx,tx
2024-07-26T15:15:52.824Z,51.6074,-175.8517,35,3.6,ml,26,197,0.382,0.91,us,us6000ng5m,2024-07-26T15:47:11.040Z,"61 km ESE of Adak, Alaska",earthquake,3.68,1.994,0.081,24,reviewed,us,us
2024-07-26T15:00:48.520Z,17.9826666666667,-66.839,11.94,2.91,md,25,155,0.04355,0.16,pr,pr71456268,2024-07-26T15:51:01.970Z,"2 km WSW of Indios, Puerto Rico",earthquake,0.27,0.34,0.223656971138776,15,reviewed,pr,pr
2024-07-26T14:40:34.114Z,32.769,-100.659,4.1748,3.3,ml,15,53,0.1,0.2,tx,tx2024opin,2024-07-27T20:01:12.595Z,"17 km NNE of Hermleigh, Texas",earthquake,1.5784080312579172,1.893002752749004,0.2,22,reviewed,tx,tx
2024-07-26T14:34:40.755Z,32.766,-100.668,7.6416,2.6,ml,15,52,0.1,0.1,tx,tx2024opid,2024-07-27T01:55:25.176Z,"16 km NNE of Hermleigh, Texas",earthquake,0.8360004548412328,1.3322958894432693,0.2,5,reviewed,tx,tx
2024-07-26T14:32:42.311Z,32.753,-100.679,8.4717,3,ml,12,79,0.1,0.1,tx,tx2024opib,2024-07-26T17:45:32.935Z,"15 km NNE of Hermleigh, Texas",earthquake,0.5767052601871209,0.9613041091939862,0.2,8,reviewed,tx,tx
2024-07-26T14:28:29.143Z,32.766,-100.659,3.2959,5.1,ml,38,30,0.1,0.3,tx,tx2024ophu,2024-07-29T01:27:50.728Z,"17 km NNE of Hermleigh, Texas",earthquake,1.7481024574264894,1.5279342440950845,0.1,43,reviewed,tx,tx
2024-07-26T14:02:35.650Z,-5.4751,145.9934,87.065,4.9,mb,42,98,3.674,0.64,us,us6000ng4k,2024-07-26T14:16:55.040Z,"36 km SE of Madang, Papua New Guinea",earthquake,9.8,7.596,0.1,31,reviewed,us,us
2024-07-26T13:49:10.132Z,22.8261,120.6746,20.897,4.5,mb,50,140,0.374,0.85,us,us6000ng4h,2024-07-28T14:22:56.532Z,"39 km SSE of Yujing, Taiwan",earthquake,2.47,4.752,0.094,36,reviewed,us,us
2024-07-26T13:33:52.170Z,36.8344993591309,-121.406997680664,8.14000034332275,2.55,md,59,41,0.07904,0.12,nc,nc75039757,2024-07-26T23:19:04.751Z,"2 km SW of Hollister, CA",earthquake,0.17,0.460000008,0.14,67,automatic,nc,nc
2024-07-26T13:07:40.869Z,36.46366667,-98.80183333,6.59,3.11,ml,95,80,0,0.18,ok,ok2024opfd,2024-07-26T23:36:48.797Z,"14 km SSE of Waynoka, Oklahoma",earthquake,,0.2,0.22,36,reviewed,ok,ok
2024-07-26T10:23:31.636Z,32.287,-104.6219,8.474,2.7,ml,32,88,0.61,0.47,us,us6000ng3g,2024-07-26T15:20:40.632Z,"26 km WNW of Whites City, New Mexico",earthquake,2.32,8.421,0.055,64,reviewed,us,us
2024-07-26T10:05:22.731Z,-20.7906,-174.1622,10,5.1,mww,44,177,0.944,0.84,us,us6000ng3e,2024-07-26T10:26:18.040Z,"101 km ENE of Kolonga, Tonga",earthquake,10.48,1.943,0.11,8,reviewed,us,us
